File,ENT(0)_cp_y,gs_y,cp_n,p,r,f,ENT(1)_cp_y,gs_y,cp_n,p,r,f
"E:\Data\table_annotation\tmp\Demographics_of_the_Swiss_Federal_Council_130f.html_6.xml.html.cell.keys",13.25,14.0,0.75,0.9464285714285714,0.9464285714285714,0.9464285714285714,13.25,14.0,3.75,0.7794117647058824,0.9464285714285714,0.8548387096774193,
"E:\Data\table_annotation\tmp\Diet_Pepsi_NFL_Rookie_of_the_Week_1657.html_1.xml.html.cell.keys",8.833333333333334,10.0,1.1666666666666667,0.8833333333333334,0.8833333333333334,0.8833333333333334,8.833333333333334,10.0,4.166666666666666,0.6794871794871795,0.8833333333333334,0.7681159420289855,
"E:\Data\table_annotation\tmp\Division_I_94db.html_0.xml.html.cell.keys",14.225,20.0,5.775,0.7112499999999999,0.7112499999999999,0.7112499999999999,14.225,20.0,21.775,0.3951388888888889,0.7112499999999999,0.5080357142857143,
"E:\Data\table_annotation\tmp\Eddie_Robinson_Coach_of_the_Year_cc5c.html_0.xml.html.cell.keys",54.0,63.0,9.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,54.0,63.0,9.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,
"E:\Data\table_annotation\tmp\Ed_Pimm_3df7.html_0.xml.html.cell.keys",5.0,5.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\Electoral_district_of_Newland_39c6.html_0.xml.html.cell.keys",4.0,8.0,4.0,0.5,0.5,0.5,4.0,8.0,4.0,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\El_Paso,_Texas_243a.html_3.xml.html.cell.keys",16.0,24.0,6.0,0.7272727272727273,0.6666666666666666,0.6956521739130435,16.0,24.0,9.0,0.64,0.6666666666666666,0.6530612244897959,
"E:\Data\table_annotation\tmp\ESPN_NFL_2K_966d.html_0.xml.html.cell.keys",7.0,9.0,2.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,7.0,9.0,6.0,0.5384615384615384,0.7777777777777778,0.6363636363636364,
"E:\Data\table_annotation\tmp\Estonia.html_2.xml.html.cell.keys",8.0,9.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,8.0,9.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,
"E:\Data\table_annotation\tmp\EuroBasket_2007_squads_8fed.html_13.xml.html.cell.keys",15.333333333333334,19.0,2.666666666666667,0.8518518518518519,0.8070175438596492,0.8288288288288289,15.333333333333334,19.0,4.666666666666666,0.7666666666666667,0.8070175438596492,0.7863247863247863,
"E:\Data\table_annotation\tmp\Fast_bowling.html_1.xml.html.cell.keys",10.5,12.0,1.5,0.875,0.875,0.875,10.5,12.0,7.5,0.5833333333333334,0.875,0.7000000000000001,
"E:\Data\table_annotation\tmp\FIFA_100_44ce.html_7.xml.html.cell.keys",14.0,14.0,0.0,1.0,1.0,1.0,14.0,14.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\Fifth_dynasty_of_Egypt_687d.html_0.xml.html.cell.keys",16.25,23.0,5.75,0.7386363636363636,0.7065217391304348,0.7222222222222222,16.25,23.0,11.75,0.5803571428571429,0.7065217391304348,0.6372549019607843,
"E:\Data\table_annotation\tmp\file398415_0_cols1_rows58.xml.html.cell.keys",14.833333333333332,20.0,4.166666666666667,0.7807017543859649,0.7416666666666666,0.7606837606837606,14.833333333333332,20.0,7.166666666666666,0.6742424242424242,0.7416666666666666,0.7063492063492062,
