File,HEADER(0)_cp_y, gs_y, cp_n, p,r,f,HEADER(1)_cp_y, gs_y, cp_n, p,r,f
"E:\Data\table_annotation\tmp\List_of_African_countries_by_GDP_per_capita_b8bb.html_0.xml.html.cell.keys",0.25,2.0,0.75,0.25,0.125,0.16666666666666666,0.4583333333333333,2.0,0.5416666666666667,0.4583333333333333,0.22916666666666666,0.3055555555555555,
"E:\Data\table_annotation\tmp\List_of_airports_in_the_United_Kingdom_16d1.html_1.xml.html.cell.keys",0.5,7.0,5.5,0.08333333333333333,0.07142857142857142,0.07692307692307691,1.75,7.0,4.25,0.2916666666666667,0.25,0.2692307692307692,
"E:\Data\table_annotation\tmp\List_of_Athabasca_University_people_bac1.html_0.xml.html.cell.keys",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\List_of_Australian_game_shows_0fc4.html_1.xml.html.cell.keys",2.0,3.0,0.0,1.0,0.6666666666666666,0.8,2.0,3.0,0.0,1.0,0.6666666666666666,0.8,
"E:\Data\table_annotation\tmp\List_of_Australian_Prime_Ministers_by_time_in_office_1a2f.html_0.xml.html.cell.keys",0.5,1.0,0.5,0.5,0.5,0.5,0.75,1.0,0.25,0.75,0.75,0.75,
"E:\Data\table_annotation\tmp\List_of_Avengers_members_8400.html_11.xml.html.cell.keys",0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\List_of_birds_of_Thailand_4230.html_47.xml.html.cell.keys",2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\List_of_Canadian_airports_by_location_indicator~_CJ_27f2.html_0.xml.html.cell.keys",0.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,
"E:\Data\table_annotation\tmp\List_of_Canadian_airports_by_location_indicator~_CV_5365.html_0.xml.html.cell.keys",0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\List_of_cast_members_of_The_Simpsons_878d.html_2.xml.html.cell.keys",0.5909090909090909,2.0,1.4090909090909092,0.29545454545454547,0.29545454545454547,0.29545454545454547,0.8863636363636364,2.0,1.1136363636363638,0.4431818181818182,0.4431818181818182,0.44318181818181823,
"E:\Data\table_annotation\tmp\List_of_Catalan_language_television_channels_169d.html_14.xml.html.cell.keys",2.1333333333333333,4.0,1.8666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,2.3,4.0,1.7,0.575,0.575,0.575,
"E:\Data\table_annotation\tmp\List_of_champagne_producers.html_0.xml.html.cell.keys",0.0,5.0,4.0,0.0,0.0,0.0,1.0,5.0,3.0,0.25,0.2,0.22222222222222224,
"E:\Data\table_annotation\tmp\List_of_cities_in_Norway_c220.html_0.xml.html.cell.keys",0.0,4.0,3.0,0.0,0.0,0.0,1.5,4.0,1.5,0.5,0.375,0.42857142857142855,
"E:\Data\table_annotation\tmp\List_of_Daytona_500_broadcasters_861d.html_1.xml.html.cell.keys",0.3833333333333333,5.0,4.616666666666667,0.07666666666666666,0.07666666666666666,0.07666666666666666,2.125,5.0,2.875,0.425,0.425,0.425,
