File,REL(0)_cp_y, gs_y, cp_n, p,r,f,REL(1)_cp_y, gs_y, cp_n, p,r,f
"E:\Data\table_annotation\tmp\List_of_LGBT_characters_in_modern_written_fiction_84cf.html_9.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_Members_of_the_European_Parliament_2004-2009_541b.html_13.xml.html.cell.keys",1.0,4.0,0.0,1.0,0.25,0.4,1.0,4.0,0.0,1.0,0.25,0.4,
"E:\Data\table_annotation\tmp\List_of_metropolitan_areas_in_Taiwan_f4ef.html_0.xml.html.cell.keys",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_Nintendo_GameCube_games_37a3.html_11.xml.html.cell.keys",1.0,3.0,0.0,1.0,0.3333333333333333,0.5,1.0,3.0,0.0,1.0,0.3333333333333333,0.5,
"E:\Data\table_annotation\tmp\List_of_number-one_singles_in_Australia_during_the_1980s_cf98.html_8.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_peaks_named_Bear_Mountain_0474.html_0.xml.html.cell.keys",1.0,5.0,0.0,1.0,0.2,0.33333333333333337,1.5,5.0,0.0,1.0,0.3,0.4615384615384615,
"E:\Data\table_annotation\tmp\List_of_people_with_epilepsy.html_11.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_Philippine_provinces_by_population_9d11.html_0.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_poliomyelitis_survivors.html_9.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_Presidents_of_the_French_Republic_0bfc.html_0.xml.html.cell.keys",1.0,3.0,0.0,1.0,0.3333333333333333,0.5,1.0,3.0,0.0,1.0,0.3333333333333333,0.5,
"E:\Data\table_annotation\tmp\List_of_Puerto_Rican_Academy_Award_winners_and_nominees_c63a.html_0.xml.html.cell.keys",2.0,3.0,0.0,1.0,0.6666666666666666,0.8,2.0,3.0,0.0,1.0,0.6666666666666666,0.8,
"E:\Data\table_annotation\tmp\List_of_Puisne_Justices_of_the_Supreme_Court_of_Canada_4ebb.html_0.xml.html.cell.keys",1.0,6.0,2.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,1.0,6.0,2.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,
"E:\Data\table_annotation\tmp\List_of_rivers_of_the_United_Kingdom_1a51.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_Seinfeld_minor_characters_0df6.html_5.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
